ticket_subject,ticket_description,category,subcategory,device_type,tags
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,finance,high"
Unauthorized device detected on network,Network monitoring flagged an unrecognized device on the internal network.,software,security,mobile,"software,security,legal,medium"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,logistics,medium"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,sales,high"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,sales,high"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,hr,critical"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,logistics,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,it,critical"
WiFi authentication error,Devices get an authentication error when trying to connect to corporate WiFi.,network,WiFi,tablet,"network,WiFi,production,high"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,operations,high"
WiFi guest network not working,The guest WiFi network is unreachable. Visitors are unable to connect.,network,WiFi,tablet,"network,WiFi,sales,critical"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,marketing,high"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,finance,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,operations,medium"
Tablet screen cracked,The tablet screen is cracked and touch is unresponsive in affected area.,hardware,tablet,tablet,"hardware,tablet,logistics,high"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,executive,medium"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,procurement,medium"
Printer toner low alert,Printer is displaying a low toner warning. Please arrange a replacement cartridge.,hardware,printer,printer,"hardware,printer,sales,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,operations,critical"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,sales,high"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,executive,critical"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,logistics,medium"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,marketing,critical"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,sales,high"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,operations,medium"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,hr,critical"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,procurement,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,legal,high"
ERP custom report failing,A custom ERP report is failing to generate with a generic error.,software,ERP,desktop,"software,ERP,procurement,high"
Security software blocking legitimate app,Security software is incorrectly blocking a required business application.,software,security,mobile,"software,security,sales,low"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,legal,critical"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,logistics,critical"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,support,low"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,it,high"
Desktop freezing randomly,The desktop computer freezes and requires a hard reboot several times a day.,hardware,desktop,desktop,"hardware,desktop,production,medium"
Desktop USB ports not working,USB ports on the desktop are not detecting any connected devices.,hardware,desktop,desktop,"hardware,desktop,marketing,high"
ERP custom report failing,A custom ERP report is failing to generate with a generic error.,software,ERP,desktop,"software,ERP,sales,medium"
Scanner producing blurry images,Scanned documents are coming out blurry regardless of quality settings.,software,scanner,desktop,"software,scanner,marketing,medium"
Desktop USB ports not working,USB ports on the desktop are not detecting any connected devices.,hardware,desktop,desktop,"hardware,desktop,operations,high"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,operations,low"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,finance,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,support,high"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,marketing,medium"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,finance,high"
ERP login page not loading,The ERP system login page fails to load for users on the office network.,software,ERP,desktop,"software,ERP,executive,critical"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,test,desktop,"other,test,support,high"
